,File ID,English_name,Quality,Time,Date,X,Y,year,type,month,time2,TOD,hour
289,388171,Bombadil,B,17:28,5/20/2017,72,142.0,2017,call,5,17:00,Day,17
290,337963,Bombadil,B,9:01,7/1/2016,74,141.0,2016,call,7,9:00,Morning,9
291,337962,Bombadil,B,8:50,7/1/2016,35,81.0,2016,call,7,9:00,Morning,9
292,328931,Bombadil,B,10:00,6/9/2015,80,146.0,2015,song,6,10:00,Morning,10
293,326730,Bombadil,B,7:32,6/18/2016,61,158.0,2016,call,6,8:00,Morning,8
294,319716,Bombadil,B,15:00,5/29/2016,69,155.0,2016,song,5,15:00,Day,15
295,317040,Bombadil,B,15:00,5/7/2016,73,142.0,2016,song,5,15:00,Day,15
296,314099,Bombadil,B,10:30,4/28/2016,74,136.0,2016,song,4,11:00,Day,11
297,313534,Bombadil,B,9:00,4/22/2016,83,139.0,2016,song,4,9:00,Morning,9
298,296892,Bombadil,B,8:35,5/18/2012,65,149.0,2012,call,5,9:00,Morning,9
299,296887,Bombadil,B,11:53,5/18/2011,77,140.0,2011,other,5,12:00,Day,12
300,296884,Bombadil,B,12:46,5/18/2011,75,130.0,2011,other,5,13:00,Day,13
301,278928,Bombadil,B,6:30,9/10/2015,75,136.0,2015,call,9,7:00,Morning,7
302,278925,Bombadil,B,8:38,9/12/2015,58,163.0,2015,call,9,9:00,Morning,9
303,278828,Bombadil,B,7:07,9/12/2015,57,158.0,2015,call,9,7:00,Morning,7
304,278827,Bombadil,B,7:04,9/12/2015,72,154.0,2015,call,9,7:00,Morning,7
305,254449,Bombadil,B,18:00,6/28/2015,67,153.0,2015,other,6,18:00,Evening,18
306,253399,Bombadil,B,8:07,5/31/2015,77,150.0,2015,song,5,8:00,Morning,8
307,246110,Bombadil,B,18:00,5/26/2015,74,165.0,2015,song,5,18:00,Evening,18
308,237361,Bombadil,B,9:30,4/26/2015,68,163.0,2015,song,4,10:00,Morning,10
309,206183,Bombadil,B,6:00,6/13/2014,58,131.0,2014,song,6,6:00,Morning,6
310,199590,Bombadil,B,7:00,7/18/2014,84,152.0,2014,call,7,7:00,Morning,7
311,185821,Bombadil,B,20:56,6/6/2014,70,155.0,2014,song,6,21:00,Evening,21
312,185819,Bombadil,B,20:19,6/6/2014,89,158.0,2014,other,6,20:00,Evening,20
313,185817,Bombadil,B,21:29,6/6/2014,82,148.0,2014,song,6,21:00,Evening,21
314,179962,Bombadil,B,10:25,5/24/2014,72,154.0,2014,call,5,10:00,Morning,10
315,179961,Bombadil,B,10:13,5/24/2014,61,163.0,2014,song,5,10:00,Morning,10
316,179960,Bombadil,B,10:03,5/24/2014,73,152.0,2014,call,5,10:00,Morning,10
317,160803,Bombadil,B,17:51,6/21/2013,67,156.0,2013,song,6,18:00,Evening,18
318,160622,Bombadil,B,5:34,5/28/2013,56,130.0,2013,song,5,6:00,Morning,6
319,153879,Bombadil,B,7:00,7/23/2013,72,140.0,2013,call,7,7:00,Morning,7
320,153344,Bombadil,B,5:00,6/10/2013,71,156.0,2013,song,6,5:00,Morning,5
321,153038,Bombadil,B,7:00,6/26/2013,57,151.0,2013,song,6,7:00,Morning,7
322,153037,Bombadil,B,8:00,6/25/2013,85,156.0,2013,song,6,8:00,Morning,8
323,101450,Bombadil,B,11:10,5/10/2012,75,143.0,2012,song,5,11:00,Day,11
324,101449,Bombadil,B,10:55,5/10/2012,104,131.0,2012,song,5,11:00,Day,11
325,100088,Bombadil,B,9:30am,4/22/2012,68,152.0,2012,song,4,10:00,Morning,10
326,100087,Bombadil,B,9:30am,4/22/2012,75,149.0,2012,song,4,10:00,Morning,10
327,100086,Bombadil,B,9:30am,4/22/2012,71,151.0,2012,song,4,10:00,Morning,10
328,95114,Bombadil,B,19:15,8/8/2011,79,147.0,2011,call,8,19:00,Evening,19
329,67480,Bombadil,B,11:37,5/23/2010,68,154.0,2010,song,5,12:00,Day,12
361,13791,Bombadil,B,7:10,6/3/2007,75,98.0,2007,song,6,7:00,Morning,7
363,356871,Bombadil,C,16:30,6/25/2015,72,165.0,2015,song,6,17:00,Day,17
364,337964,Bombadil,C,9:07,7/1/2016,92,134.0,2016,call,7,9:00,Morning,9
365,337314,Bombadil,C,15:15,5/29/2015,73,158.0,2015,song,5,15:00,Day,15
366,318258,Bombadil,C,3:30,5/17/2016,73,140.0,2016,call,5,4:00,Night,4
367,315032,Bombadil,C,7:07,4/24/2016,69,147.0,2016,call,4,7:00,Morning,7
368,296896,Bombadil,C,8:33,5/18/2012,70,130.0,2012,other,5,9:00,Morning,9
369,296885,Bombadil,C,12:46,5/18/2011,73,141.0,2011,call,5,13:00,Day,13
370,180228,Bombadil,C,18:00,5/28/2014,72,138.0,2014,song,5,18:00,Evening,18
371,137968,Bombadil,C,7:00,6/9/2013,81,129.0,2013,song,6,7:00,Morning,7
372,131789,Bombadil,C,9:00,4/22/2013,66,144.0,2013,song,4,9:00,Morning,9
373,100143,Bombadil,C,16:35,4/30/2012,77,133.0,2012,song,4,17:00,Day,17
378,246111,Bombadil,D,18:20,5/26/2015,64,131.0,2015,song,5,18:00,Evening,18
379,216402,Bombadil,D,9:22,9/14/2013,71,163.0,2013,call,9,9:00,Morning,9
380,216399,Bombadil,D,9:22,9/14/2013,71,157.0,2013,call,9,9:00,Morning,9
381,176638,Bombadil,D,12:30,10/12/2013,65,148.0,2013,call,10,13:00,Day,13
382,83740,Bombadil,D,9:45,3/27/2011,47,58.0,2011,other,3,10:00,Morning,10
384,132418,Bombadil,E,18:10,5/3/2013,88,142.0,2013,song,5,18:00,Evening,18
386,43642,Bombadil,E,7:30,6/20/2009,78,154.0,2009,song,6,8:00,Morning,8
387,379541,Broad-winged Jojo,no score,11:30,7/1/2017,55,74.0,2017,song,7,12:00,Day,12
388,379335,Broad-winged Jojo,no score,15:31,7/1/2017,55,80.0,2017,song,7,16:00,Day,16
389,387362,Broad-winged Jojo,A,8:31,7/28/2013,53,87.0,2013,call,7,9:00,Morning,9
390,371463,Broad-winged Jojo,A,6:30,5/14/2017,61,75.0,2017,other,5,7:00,Morning,7
391,317055,Broad-winged Jojo,A,7:30,5/16/2016,63,91.0,2016,other,5,8:00,Morning,8
392,317045,Broad-winged Jojo,A,16:30,5/15/2016,60,78.0,2016,call,5,17:00,Day,17
393,278203,Broad-winged Jojo,A,17:46,6/10/2015,69,90.0,2015,other,6,18:00,Evening,18
394,278201,Broad-winged Jojo,A,17:45,6/10/2015,66,90.0,2015,other,6,18:00,Evening,18
395,262816,Broad-winged Jojo,A,8:00,7/18/2015,40,132.0,2015,call,7,8:00,Morning,8
396,192537,Broad-winged Jojo,A,8:14,6/14/2014,42,86.0,2014,call,6,8:00,Morning,8
397,192536,Broad-winged Jojo,A,8:34,6/14/2014,56,145.0,2014,call,6,9:00,Morning,9
398,184319,Broad-winged Jojo,A,7:00,6/28/2014,61,76.0,2014,call,6,7:00,Morning,7
399,182068,Broad-winged Jojo,A,8:00,5/22/2014,54,76.0,2014,other,5,8:00,Morning,8
400,140782,Broad-winged Jojo,A,6:35,6/27/2013,55,78.0,2013,call,6,7:00,Morning,7
401,139568,Broad-winged Jojo,A,8:00,6/23/2013,92,133.0,2013,call,6,8:00,Morning,8
402,135669,Broad-winged Jojo,A,10:30,5/26/2013,61,75.0,2013,other,5,11:00,Day,11
403,80335,Broad-winged Jojo,A,8:24,6/7/2011,56,83.0,2011,song,6,8:00,Morning,8
406,33567,Broad-winged Jojo,A,10:00,4/27/2009,135,45.0,2009,call,4,10:00,Morning,10
407,33566,Broad-winged Jojo,A,10:00,4/27/2009,60,76.0,2009,other,4,10:00,Morning,10
408,33565,Broad-winged Jojo,A,10:00,4/27/2009,59,75.0,2009,song,4,10:00,Morning,10
409,33564,Broad-winged Jojo,A,10:00,4/27/2009,87,132.0,2009,other,4,10:00,Morning,10
410,33563,Broad-winged Jojo,A,10:00,4/27/2009,59,84.0,2009,other,4,10:00,Morning,10
411,14955,Broad-winged Jojo,A,10:00,6/22/2007,67,82.0,2007,call,6,10:00,Morning,10
412,14954,Broad-winged Jojo,A,4:00,6/14/2007,55,53.0,2007,call,6,4:00,Night,4
413,13689,Broad-winged Jojo,A,7:32,6/4/2007,61,156.0,2007,song,6,8:00,Morning,8
414,395415,Broad-winged Jojo,B,8:00,6/4/2017,45,49.0,2017,call,6,8:00,Morning,8
415,389986,Broad-winged Jojo,B,6:19,5/27/2017,70,81.0,2017,call,5,6:00,Morning,6
416,389985,Broad-winged Jojo,B,6:16,5/27/2017,64,75.0,2017,call,5,6:00,Morning,6
417,385856,Broad-winged Jojo,B,9:00,7/19/2015,56,84.0,2015,call,7,9:00,Morning,9
418,379258,Broad-winged Jojo,B,6:55,7/10/2017,149,160.0,2017,call,7,7:00,Morning,7
419,373461,Broad-winged Jojo,B,16:00,4/14/2017,46,75.0,2017,call,4,16:00,Day,16
420,372595,Broad-winged Jojo,B,12:00,5/26/2017,143,54.0,2017,song,5,12:00,Day,12
421,357148,Broad-winged Jojo,B,8:00,2/25/2017,39,63.0,2017,call,2,8:00,Morning,8
422,320111,Broad-winged Jojo,B,16:30,5/29/2016,55,79.0,2016,call,5,17:00,Day,17
423,319446,Broad-winged Jojo,B,5:44,5/30/2016,33,152.0,2016,song,5,6:00,Morning,6
424,319008,Broad-winged Jojo,B,2:00,5/28/2016,151,158.0,2016,song,5,2:00,Night,2
425,278199,Broad-winged Jojo,B,17:36,6/10/2015,38,85.0,2015,other,6,18:00,Evening,18
426,255840,Broad-winged Jojo,B,10:00,7/5/2015,70,157.0,2015,call,7,10:00,Morning,10
427,253869,Broad-winged Jojo,B,8:46,3/20/2015,69,83.0,2015,other,3,9:00,Morning,9
428,253864,Broad-winged Jojo,B,8:46,3/20/2015,133,37.0,2015,other,3,9:00,Morning,9
429,253853,Broad-winged Jojo,B,8:44,3/20/2015,60,78.0,2015,other,3,9:00,Morning,9
430,253850,Broad-winged Jojo,B,8:44,3/20/2015,48,80.0,2015,other,3,9:00,Morning,9
431,253355,Broad-winged Jojo,B,9:30,6/6/2015,79,130.0,2015,call,6,10:00,Morning,10
432,228616,Broad-winged Jojo,B,19:00,4/25/1999,58,76.0,1999,call,4,19:00,Evening,19
433,196882,Broad-winged Jojo,B,6:30,8/25/2014,79,132.0,2014,call,8,7:00,Morning,7
434,196875,Broad-winged Jojo,B,6:00,8/25/2014,51,74.0,2014,song,8,6:00,Morning,6
435,194599,Broad-winged Jojo,B,20:08,7/30/2014,33,140.0,2014,call,7,20:00,Evening,20
436,194583,Broad-winged Jojo,B,20:12,7/30/2014,43,73.0,2014,call,7,20:00,Evening,20
437,179051,Broad-winged Jojo,B,9:00,5/9/2014,70,143.0,2014,other,5,9:00,Morning,9
438,176376,Broad-winged Jojo,B,14:03,4/27/2014,53,69.0,2014,call,4,14:00,Day,14
439,164751,Broad-winged Jojo,B,7:38,5/11/2012,56,78.0,2012,song,5,8:00,Morning,8
440,164748,Broad-winged Jojo,B,11:09,5/10/2012,10,147.0,2012,song,5,11:00,Day,11
441,164744,Broad-winged Jojo,B,12:19,5/12/2012,129,108.0,2012,call,5,12:00,Day,12
442,164739,Broad-winged Jojo,B,12:19,5/12/2012,57,74.0,2012,call,5,12:00,Day,12
443,160321,Broad-winged Jojo,B,5:58,5/5/2013,45,65.0,2013,call,5,6:00,Morning,6
444,159336,Broad-winged Jojo,B,11:44,8/24/2012,60,77.0,2012,call,8,12:00,Day,12
445,159277,Broad-winged Jojo,B,11:58,8/19/2012,58,77.0,2012,call,8,12:00,Day,12
446,158560,Broad-winged Jojo,B,8:30,4/11/2013,66,81.0,2013,call,4,9:00,Morning,9
447,142861,Broad-winged Jojo,B,18:00,6/16/2013,75,145.0,2013,song,6,18:00,Evening,18
448,140783,Broad-winged Jojo,B,7:50,6/27/2013,50,79.0,2013,call,6,8:00,Morning,8
449,135668,Broad-winged Jojo,B,10:30,5/26/2013,60,74.0,2013,other,5,11:00,Day,11
450,135667,Broad-winged Jojo,B,10:30,5/26/2013,63,88.0,2013,song,5,11:00,Day,11
451,108734,Broad-winged Jojo,B,19:25,8/28/2012,45,74.0,2012,call,8,19:00,Evening,19
452,103814,Broad-winged Jojo,B,10:30am,6/13/2012,58,75.0,2012,other,6,11:00,Day,11
453,102207,Broad-winged Jojo,B,8:15,5/27/2012,56,73.0,2012,call,5,8:00,Morning,8
454,101243,Broad-winged Jojo,B,5:15am,5/16/2012,36,141.0,2012,song,5,5:00,Morning,5
455,94147,Broad-winged Jojo,B,15:30,7/9/2011,45,76.0,2011,song,7,16:00,Day,16
456,86466,Broad-winged Jojo,B,15:59,7/9/2011,59,76.0,2011,other,7,16:00,Day,16
457,82759,Broad-winged Jojo,B,7:15,7/3/2011,55,74.0,2011,call,7,7:00,Morning,7
459,54331,Broad-winged Jojo,B,11:00am,7/12/2008,64,82.0,2008,other,7,11:00,Day,11
460,43644,Broad-winged Jojo,B,8:30,6/20/2009,44,81.0,2009,call,6,9:00,Morning,9
463,330559,Broad-winged Jojo,C,17:00,8/7/2016,63,76.0,2016,call,8,17:00,Day,17
464,320501,Broad-winged Jojo,C,19:00,6/7/2016,61,91.0,2016,call,6,19:00,Evening,19
465,288571,Broad-winged Jojo,C,8:52,3/7/1998,49,64.0,1998,call,3,9:00,Morning,9
466,253903,Broad-winged Jojo,C,9:30,6/6/2015,125,107.0,2015,call,6,10:00,Morning,10
467,183604,Broad-winged Jojo,C,10:00,6/21/2014,58,77.0,2014,song,6,10:00,Morning,10
468,164742,Broad-winged Jojo,C,12:19,5/12/2012,60,75.0,2012,call,5,12:00,Day,12
469,164736,Broad-winged Jojo,C,11:43,5/9/2013,58,79.0,2013,song,5,12:00,Day,12
470,160341,Broad-winged Jojo,C,9:25,5/5/2013,56,74.0,2013,call,5,9:00,Morning,9
471,141872,Broad-winged Jojo,C,9:00,8/25/2012,65,92.0,2012,call,8,9:00,Morning,9
472,141537,Broad-winged Jojo,C,8:30,6/27/2013,42,87.0,2013,song,6,9:00,Morning,9
473,138081,Broad-winged Jojo,C,5:00,6/11/2013,51,76.0,2013,call,6,5:00,Morning,5
476,369858,Broad-winged Jojo,D,4:45,6/25/2016,75,85.0,2016,song,6,5:00,Morning,5
477,182957,Broad-winged Jojo,D,14:30,6/21/2014,59,78.0,2014,song,6,15:00,Day,15
478,172982,Broad-winged Jojo,D,4:30,6/17/2013,57,87.0,2013,song,6,5:00,Morning,5
479,96700,Broad-winged Jojo,D,9:50,9/16/2009,75,86.0,2009,call,9,10:00,Morning,10
480,388694,Canadian Cootamum,A,6:00,5/1/2016,32,125.0,2016,call,5,6:00,Morning,6
481,388693,Canadian Cootamum,A,6:00,5/1/2016,31,138.0,2016,call,5,6:00,Morning,6
482,363105,Canadian Cootamum,A,20:05,4/5/2017,32,148.0,2017,song,4,20:00,Evening,20
483,362651,Canadian Cootamum,A,19:00,4/2/2017,37,129.0,2017,call,4,19:00,Evening,19
484,360916,Canadian Cootamum,A,18:30,3/22/2017,52,168.0,2017,call,3,19:00,Evening,19
485,358027,Canadian Cootamum,A,18:28,3/5/2017,76,151.0,2017,call,3,18:00,Evening,18
486,325432,Canadian Cootamum,A,19:30,5/13/2016,142,99.0,2016,call,5,20:00,Evening,20
487,313736,Canadian Cootamum,A,20:30,4/22/2016,35,136.0,2016,song,4,21:00,Evening,21
488,309337,Canadian Cootamum,A,20:30,3/28/2016,28,144.0,2016,call,3,21:00,Evening,21
489,305888,Canadian Cootamum,A,20:23,5/25/2011,41,125.0,2011,call,5,20:00,Evening,20
490,243587,Canadian Cootamum,A,7:00,3/13/2015,85,133.0,2015,call,3,7:00,Morning,7
491,243586,Canadian Cootamum,A,6:30,3/16/2015,30,132.0,2015,call,3,7:00,Morning,7
492,237375,Canadian Cootamum,A,20:30,4/25/2015,76,159.0,2015,song,4,21:00,Evening,21
493,218671,Canadian Cootamum,A,20:00,3/20/2015,25,146.0,2015,call,3,20:00,Evening,20
494,217815,Canadian Cootamum,A,18:30,2/8/2015,32,136.0,2015,call,2,19:00,Evening,19
495,217766,Canadian Cootamum,A,6:30,3/15/2015,38,142.0,2015,call,3,7:00,Morning,7
496,166584,Canadian Cootamum,A,6:40,2/8/2014,34,135.0,2014,call,2,7:00,Morning,7
497,96745,Canadian Cootamum,A,20:00,3/13/2012,124,122.0,2012,song,3,20:00,Evening,20
498,96744,Canadian Cootamum,A,20:00,3/13/2012,44,158.0,2012,song,3,20:00,Evening,20
499,96743,Canadian Cootamum,A,20:00,3/13/2012,35,149.0,2012,song,3,20:00,Evening,20
500,96741,Canadian Cootamum,A,20:00,3/13/2012,58,157.0,2012,song,3,20:00,Evening,20
501,78342,Canadian Cootamum,A,21:38,5/15/2011,31,137.0,2011,call,5,22:00,Evening,22
502,77262,Canadian Cootamum,A,20:30,2/17/2011,39,141.0,2011,song,2,21:00,Evening,21
503,51754,Canadian Cootamum,A,21:00,3/14/2009,28,114.0,2009,song,3,21:00,Evening,21
504,31012,Canadian Cootamum,A,6:30,4/10/2008,37,60.0,2008,song,4,7:00,Morning,7
505,370196,Canadian Cootamum,B,20:00,5/12/2017,13,127.0,2017,call,5,20:00,Evening,20
506,358052,Canadian Cootamum,B,18:30,3/5/2017,26,141.0,2017,call,3,19:00,Evening,19
507,358026,Canadian Cootamum,B,18:21,3/5/2017,30,146.0,2017,call,3,18:00,Evening,18
508,325435,Canadian Cootamum,B,4:30,5/14/2016,38,136.0,2016,call,5,5:00,Morning,5
509,318915,Canadian Cootamum,B,19:00,3/28/2015,33,137.0,2015,call,3,19:00,Evening,19
510,313737,Canadian Cootamum,B,20:30,4/22/2016,63,147.0,2016,song,4,21:00,Evening,21
511,312946,Canadian Cootamum,B,19:30,4/18/2016,36,135.0,2016,call,4,20:00,Evening,20
512,308295,Canadian Cootamum,B,20:20,3/23/2016,126,112.0,2016,other,3,20:00,Evening,20
513,306856,Canadian Cootamum,B,18:15,3/12/2016,33,135.0,2016,call,3,18:00,Evening,18
514,306348,Canadian Cootamum,B,21:05,5/28/2011,43,162.0,2011,call,5,21:00,Evening,21
515,301714,Canadian Cootamum,B,18:00,1/29/2016,32,134.0,2016,call,1,18:00,Evening,18
516,272302,Canadian Cootamum,B,6:45,2/10/2015,83,145.0,2015,call,2,7:00,Morning,7
517,217832,Canadian Cootamum,B,18:35,2/8/2015,30,144.0,2015,call,2,19:00,Evening,19
518,217829,Canadian Cootamum,B,18:33,2/8/2015,59,77.0,2015,call,2,19:00,Evening,19
519,217817,Canadian Cootamum,B,18:30,2/8/2015,30,128.0,2015,call,2,19:00,Evening,19
520,216516,Canadian Cootamum,B,6:48,2/2/2014,41,137.0,2014,call,2,7:00,Morning,7
521,216509,Canadian Cootamum,B,6:48,2/2/2014,32,136.0,2014,call,2,7:00,Morning,7
522,202087,Canadian Cootamum,B,6:00,11/10/2014,40,134.0,2014,other,11,6:00,Morning,6
523,171997,Canadian Cootamum,B,20:15,3/26/2014,138,109.0,2014,other,3,20:00,Evening,20
524,171994,Canadian Cootamum,B,20:15,3/26/2014,36,124.0,2014,other,3,20:00,Evening,20
525,171991,Canadian Cootamum,B,20:15,3/26/2014,38,135.0,2014,other,3,20:00,Evening,20
526,167153,Canadian Cootamum,B,18:56,2/7/2014,30,139.0,2014,song,2,19:00,Evening,19
527,138068,Canadian Cootamum,B,6:21,3/16/2013,100,130.0,2013,call,3,6:00,Morning,6
528,138054,Canadian Cootamum,B,19:44,3/11/2013,36,140.0,2013,other,3,20:00,Evening,20
529,134501,Canadian Cootamum,B,20:40,5/17/2013,23,144.0,2013,call,5,21:00,Evening,21
530,133923,Canadian Cootamum,B,21:08,5/16/2013,32,138.0,2013,call,5,21:00,Evening,21
531,133048,Canadian Cootamum,B,20:27,4/6/2012,34,138.0,2012,call,4,20:00,Evening,20
532,125207,Canadian Cootamum,B,6:27,3/16/2013,28,135.0,2013,call,3,6:00,Morning,6
533,99969,Canadian Cootamum,B,20:52,4/27/2012,26,149.0,2012,call,4,21:00,Evening,21
534,93791,Canadian Cootamum,B,20:19,1/29/2012,72,131.0,2012,call,1,20:00,Evening,20
535,93789,Canadian Cootamum,B,20:19,1/29/2012,53,94.0,2012,call,1,20:00,Evening,20
536,45508,Canadian Cootamum,B,19:10,3/16/2010,33,134.0,2010,call,3,19:00,Evening,19
537,15173,Canadian Cootamum,B,20:58,5/23/2007,38,139.0,2007,call,5,21:00,Evening,21
538,15171,Canadian Cootamum,B,20:52,5/23/2007,35,137.0,2007,call,5,21:00,Evening,21
539,305896,Canadian Cootamum,C,21:03,5/25/2011,75,140.0,2011,call,5,21:00,Evening,21
540,301715,Canadian Cootamum,C,18:00,1/29/2016,22,136.0,2016,call,1,18:00,Evening,18
541,237821,Canadian Cootamum,C,10:00,4/28/2015,24,124.0,2015,song,4,10:00,Morning,10
542,236020,Canadian Cootamum,C,20:00,4/14/2015,32,135.0,2015,call,4,20:00,Evening,20
543,217831,Canadian Cootamum,C,18:35,2/8/2015,36,134.0,2015,call,2,19:00,Evening,19
544,217801,Canadian Cootamum,C,18:29,2/8/2015,64,157.0,2015,call,2,18:00,Evening,18
545,217792,Canadian Cootamum,C,18:28,2/8/2015,31,134.0,2015,call,2,18:00,Evening,18
546,181303,Canadian Cootamum,C,4:30,5/31/2014,21,137.0,2014,call,5,5:00,Morning,5
547,129225,Canadian Cootamum,C,19:45,4/8/2013,36,139.0,2013,call,4,20:00,Evening,20
548,93790,Canadian Cootamum,C,20:19,1/29/2012,34,137.0,2012,call,1,20:00,Evening,20
550,55153,Canadian Cootamum,C,2:39,4/2/2010,21,132.0,2010,other,4,3:00,Night,3
551,51755,Canadian Cootamum,C,9:00pm,3/14/2009,73,156.0,2009,song,3,21:00,Evening,21
552,45509,Canadian Cootamum,C,19:10,3/16/2010,137,43.0,2010,song,3,19:00,Evening,19
553,31861,Canadian Cootamum,C,18:34,3/7/2009,38,144.0,2009,other,3,19:00,Evening,19
554,312954,Canadian Cootamum,D,19:30,4/18/2016,71,145.0,2016,call,4,20:00,Evening,20
555,311816,Canadian Cootamum,D,6:30,3/25/2016,40,129.0,2016,call,3,7:00,Morning,7
556,217781,Canadian Cootamum,D,18:25,2/8/2015,43,124.0,2015,call,2,18:00,Evening,18
557,96742,Canadian Cootamum,D,8:00pm,3/13/2012,24,135.0,2012,song,3,20:00,Evening,20
558,75443,Canadian Cootamum,D,19:40,3/24/2010,32,137.0,2010,song,3,20:00,Evening,20
559,31011,Canadian Cootamum,D,6:30,4/10/2008,30,129.0,2008,other,4,7:00,Morning,7
560,31010,Canadian Cootamum,D,6:30,4/10/2008,32,136.0,2008,song,4,7:00,Morning,7
561,404839,Canadian Cootamum,E,20:00,6/5/2017,50,134.0,2017,call,6,20:00,Evening,20
562,397439,Carries Champagne Pipit,no score,11:00,11/4/2017,137,158.0,2017,call,11,11:00,Day,11
563,397437,Carries Champagne Pipit,no score,13:00,10/31/2017,138,46.0,2017,call,10,13:00,Day,13
564,397429,Carries Champagne Pipit,no score,13:00,11/2/2017,138,46.0,2017,call,11,13:00,Day,13
565,405209,Carries Champagne Pipit,A,19:22,6/20/2016,138,44.0,2016,call,6,19:00,Evening,19
566,395909,Carries Champagne Pipit,A,11:00,12/12/2017,139,49.0,2017,call,12,11:00,Day,11
567,392005,Carries Champagne Pipit,A,7:16,11/5/2017,136,36.0,2017,call,11,7:00,Morning,7
568,356568,Carries Champagne Pipit,A,15:00,2/23/2017,145,51.0,2017,call,2,15:00,Day,15
570,344102,Carries Champagne Pipit,A,7:00,1/8/2010,155,37.0,2010,call,1,7:00,Morning,7
571,340347,Carries Champagne Pipit,A,10:30,10/22/2016,136,36.0,2016,call,10,11:00,Day,11
572,335836,Carries Champagne Pipit,A,8:00,9/10/1988,121,44.0,1988,call,9,8:00,Morning,8
573,334375,Carries Champagne Pipit,A,9:54,9/11/2016,116,23.0,2016,call,9,10:00,Morning,10
574,306883,Carries Champagne Pipit,A,10:30,10/19/2015,134,39.0,2015,call,10,11:00,Day,11
575,306366,Carries Champagne Pipit,A,17:00,3/5/2016,78,84.0,2016,call,3,17:00,Day,17
576,267497,Carries Champagne Pipit,A,9:00,4/7/2015,138,48.0,2015,call,4,9:00,Morning,9
577,256980,Carries Champagne Pipit,A,8:00,10/8/2014,145,39.0,2014,call,10,8:00,Morning,8
578,209669,Carries Champagne Pipit,A,7:57,11/16/2013,135,70.0,2013,call,11,8:00,Morning,8
579,197379,Carries Champagne Pipit,A,9:20,4/17/2014,42,34.0,2014,call,4,9:00,Morning,9
580,197378,Carries Champagne Pipit,A,9:20,4/17/2014,119,58.0,2014,song,4,9:00,Morning,9
581,162716,Carries Champagne Pipit,A,7:59,6/9/2013,77,129.0,2013,call,6,8:00,Morning,8
582,149851,Carries Champagne Pipit,A,10:15,5/13/2013,140,43.0,2013,call,5,10:00,Morning,10
586,61943,Carries Champagne Pipit,A,17:00,7/31/2010,135,43.0,2010,call,7,17:00,Day,17
587,405206,Carries Champagne Pipit,B,19:37,6/20/2016,136,40.0,2016,call,6,20:00,Evening,20
588,392818,Carries Champagne Pipit,B,12:37,12/14/2014,67,166.0,2014,call,12,13:00,Day,13
589,391082,Carries Champagne Pipit,B,18:30,10/28/2017,167,22.0,2017,call,10,19:00,Evening,19
590,390051,Carries Champagne Pipit,B,10:00,10/15/2017,149,49.0,2017,call,10,10:00,Morning,10
591,380344,Carries Champagne Pipit,B,11:00,5/12/2017,91,140.0,2017,call,5,11:00,Day,11
592,380150,Carries Champagne Pipit,B,11:00,5/12/2017,28,137.0,2017,song,5,11:00,Day,11
593,367479,Carries Champagne Pipit,B,11:00,5/2/2017,158,13.0,2017,other,5,11:00,Day,11
594,367477,Carries Champagne Pipit,B,10:00,5/2/2017,142,47.0,2017,other,5,10:00,Morning,10
595,358383,Carries Champagne Pipit,B,16:00,6/2/2016,136,38.0,2016,call,6,16:00,Day,16
596,357183,Carries Champagne Pipit,B,16:00,2/26/2017,146,46.0,2017,call,2,16:00,Day,16
597,345088,Carries Champagne Pipit,B,9:41,12/4/2016,143,49.0,2016,call,12,10:00,Morning,10
598,344100,Carries Champagne Pipit,B,11:00,12/2/2015,137,29.0,2015,call,12,11:00,Day,11
599,338522,Carries Champagne Pipit,B,10:00,10/15/2016,136,32.0,2016,call,10,10:00,Morning,10
600,338521,Carries Champagne Pipit,B,10:15,10/15/2016,91,125.0,2016,call,10,10:00,Morning,10
601,337676,Carries Champagne Pipit,B,10:25,10/1/2016,82,157.0,2016,call,10,10:00,Morning,10
602,329257,Carries Champagne Pipit,B,11:00,6/19/2016,147,38.0,2016,call,6,11:00,Day,11
603,303832,Carries Champagne Pipit,B,9:00,12/25/2015,139,45.0,2015,call,12,9:00,Morning,9
604,295504,Carries Champagne Pipit,B,8:30,12/16/2015,149,48.0,2015,call,12,9:00,Morning,9
605,267498,Carries Champagne Pipit,B,9:00,4/7/2015,85,152.0,2015,call,4,9:00,Morning,9
606,209947,Carries Champagne Pipit,B,7:30,12/21/2013,143,44.0,2013,call,12,8:00,Morning,8
607,198897,Carries Champagne Pipit,B,12:00,11/2/2013,131,59.0,2013,call,11,12:00,Day,12
608,175348,Carries Champagne Pipit,B,12:00,4/19/2014,49,62.0,2014,call,4,12:00,Day,12
609,113403,Carries Champagne Pipit,B,10:10,7/1/2012,86,132.0,2012,song,7,10:00,Morning,10
610,113402,Carries Champagne Pipit,B,10:00,7/1/2012,146,26.0,2012,call,7,10:00,Morning,10
612,91419,Carries Champagne Pipit,B,10:12,12/13/2011,140,38.0,2011,call,12,10:00,Morning,10
613,91303,Carries Champagne Pipit,B,15:13,12/4/2011,135,44.0,2011,call,12,15:00,Day,15
614,91300,Carries Champagne Pipit,B,15:17,12/3/2011,121,44.0,2011,call,12,15:00,Day,15
